MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,ZCR,Centroid,RMS,LS
0.0030782375283903343,0.7618804804317083,0.7553432222412307,0.3363456948645158,0.8397286397637314,0.1487212608498759,0.7214548814870007,0.27666639729961184,0.3535120381301478,0.541451894451256,0.1055988613967132,0.7244291975508916,0.1438619613448922,0.5591595070640417,0.13521632274625078,0.4868536799989271,0.1882407408696669,0.08393003414843515,0.24931036449599867,0.717830180216339,0.23810111735292186,0.17031046301433309,0.009866405242167541,0.0
0.005511218905016149,0.7632220610023853,0.7656585556828595,0.33399979051089074,0.8147140063564116,0.1421494245544576,0.6968244854504183,0.2889158970395966,0.35395480225605525,0.42462947161534514,0.04767631730245499,0.690810396921663,0.18228316630883257,0.5699116960390237,0.18138367737701863,0.6237179706739875,0.23775576065507736,0.1716597946191599,0.2999593504642951,0.6813227038492999,0.24557071424161867,0.16921722238767095,0.009218529406770603,0.0
0.0030168969070160103,0.7738574118649291,0.7654109085996792,0.33560470596148334,0.8308270121800982,0.17703073816905288,0.7267601429814591,0.30734657672096666,0.3509015721651505,0.4492314738190459,0.024711541715217535,0.6834731498709308,0.17363488693150142,0.5565141872943435,0.13605470057579494,0.6025085732164018,0.23436596876486152,0.15284043613068188,0.24307833901093356,0.6268206677734055,0.22760664238533243,0.15901037216005437,0.01640611650479311,0.0
0.0014765985154867219,0.764558891801741,0.755449687784439,0.32515523972081667,0.8218470548635978,0.17381566171521573,0.7250186018790631,0.2697545685550519,0.3464090119263463,0.4458807285434658,0.05231748567212386,0.7012475453800632,0.1745217661474243,0.5855476578425145,0.16580721492726658,0.5686686585900522,0.21631632758072677,0.04338814271466869,0.2145789624328605,0.6398704939670822,0.2380393851472304,0.16890330871824655,0.005978073745976108,0.0
0.005563712321384561,0.7630121517536615,0.7657893791802003,0.3439255573326971,0.8017194841496882,0.1294199965561902,0.6480678343868347,0.2726705195169198,0.3404312028233598,0.49592833880246234,0.06922608750727596,0.7102514821270014,0.22425563328909373,0.6324346843255327,0.21380236224186724,0.5934097114770736,0.19512762827099145,0.11032423405231614,0.21212896974977694,0.6045435703109157,0.24328662263102588,0.17215547039275875,0.0032194761862919265,0.0
0.0042351570363301,0.764128348014212,0.7501324646398072,0.33982503572349826,0.8035848732198023,0.12841703466543508,0.7518031749813624,0.2893797509597787,0.31569996075290935,0.39731234430856877,0.05400955654397262,0.7181255379232743,0.15444531145103824,0.5728233984273756,0.2210812791206621,0.5214380637343785,0.1986747490162358,0.045116366131622794,0.18941215093340366,0.6287771180261004,0.253102043336007,0.17083664810037896,0.006692930799812308,0.0
0.0005963016173984724,0.7636688459434655,0.758932638740397,0.3576526756978971,0.8254624219633407,0.10865681307298934,0.6824076165916219,0.2910992531352217,0.3357608749939062,0.45783057820508405,0.08293504364389742,0.7176919710888175,0.1590246855474814,0.6045637068978305,0.24762108692076515,0.6035766694421633,0.21589025233249617,0.17432645580497222,0.24736249036347913,0.4991766775799302,0.24754614482375387,0.16912330215705967,0.005891715817911856,0.0
0.009961068116156381,0.7597214795384443,0.7696330170453126,0.36789260612042163,0.8275537714771887,0.15707005461051576,0.6782979127048968,0.316915956100477,0.32093494534964023,0.4678657488055615,0.07822498389383226,0.6854416945650589,0.15169077425362112,0.579426150762363,0.24454414315403403,0.6460769539876376,0.1938805670319783,0.08784202591800436,0.2178472883404485,0.6572592338187029,0.23816284955861342,0.16689657870065203,0.014622023907841904,0.0
0.013638261423446962,0.7546113384702363,0.75559791657716,0.34470339950378875,0.7970956443866575,0.17535368565672743,0.6743862497063028,0.3088357295140721,0.36508265260416123,0.49339253310998216,0.02271144173195443,0.6491826311733991,0.16838598783857578,0.5376439154801455,0.214338146994347,0.6397141284915578,0.1890141446602683,0.1575570202935125,0.18383361512709884,0.6432375211026786,0.24436693623063074,0.17511633645687164,0.01333715668507959,0.0
0.017030869636380706,0.7465177281384109,0.7572905815528773,0.34687792915461346,0.8134075545859789,0.1646164881736988,0.6634544942408948,0.3229280127975916,0.3181731758411003,0.4478369685195079,0.06603699515395388,0.700289344843779,0.19821811391011449,0.5929347372165878,0.2725245490659453,0.5919509406949732,0.19012668713329967,0.14703025032603836,0.2051179184960033,0.6378945529165578,0.23992221742082828,0.17725591318815448,0.009525662215185462,0.0
